status,name,address,rating,reviews,types,neighborhood,place_id,reason
EXISTS,"Baccarat Hotel New York","28 W 53rd St, New York, NY 10019, USA",4.6,1288,,,ChIJi0E5YvlYwokRp4w4kH4Av-A,"matched: Baccarat Hotel"
EXISTS,"Mercedes Club","550 W 54th St, New York, NY 10019, USA",4.5,187,,,ChIJsZLEW1pYwokRocjM7COUYJI,"matched: Mercedes Club"
EXISTS,"TMPL Fitness","28-30 Avenue A, New York, NY 10009, USA",4.9,1097,,,ChIJn_7Cad1ZwokRenmBoBeVDLc,"matched: TMPL Avenue A"
EXISTS,"Brooklyn Banya","602 Coney Island Ave, Brooklyn, NY 11218, USA",3.7,428,,,ChIJt6S1MDBbwokRQEKGKk5lbCs,"matched: Brooklyn Banya"
EXISTS,"Akari Greenpoint","149 Franklin St, Brooklyn, NY 11222, USA",5,11,,,ChIJM1CUCQ5ZwokRmVUE8mzRHJM,"matched: Akari Sauna Greenpoint"
EXISTS,"VITAL Climbing Gym - Brooklyn","221 N 14th St, Brooklyn, NY 11249, USA",4.6,785,,,ChIJqR_jAeRZwokRpmZBdYTeb9A,"matched: VITAL Climbing Gym Brooklyn"
EXISTS,"beem® Light Sauna - Park Slope","367 5th Ave, Brooklyn, NY 11215, USA",5,85,,,ChIJC_avtUFbwokRubpUaSNaD0c,"matched: beem Light Sauna"
EXISTS,"Life Time","18 6th Ave, Brooklyn, NY 11217, USA",4.3,123,,,ChIJvQzkNABbwokRthaomAVMEnM,"matched: Life Time Atlantic Avenue"
FILTERED,"The SPA Club","22 W 32nd St #4F, New York, NY 10001, USA",4.2,819,,,ChIJMz2se2hZwokRpYyk1kLC21Q,"no sauna-specific signals"
FILTERED,"AIRE Ancient Baths New York · Tribeca","88 Franklin St, New York, NY 10013, USA",4.5,2134,,,ChIJ63NebSBawokRnDuPylB7t38,"excluded type: store"
FILTERED,"Wall Street Bath & Spa 88","88 Fulton St, New York, NY 10038, USA",4.2,898,,,ChIJw0iarSJawokRYslMIjGxy1o,"excluded type: restaurant"
FILTERED,"East Side Club","227 E 56th St #6Floor, New York, NY 10022, USA",2.9,209,,,ChIJ7WaoOORYwokRPlAjzlmUpTY,"no sauna-specific signals"
FILTERED,"JUVENEX SPA","25 W 32nd St, New York, NY 10001, USA",3.9,558,,,ChIJ1QlZ4KhZwokRLX7Vn4t-G4s,"no sauna-specific signals"
FILTERED,"QC NY SPA","Governors Island, 112 Andes Rd, New York, NY 10004, USA",3.9,2054,,,ChIJ6QzFjltbwokRhjgdHc01agI,"no sauna-specific signals"
FILTERED,"Spa Castle New York","131-10 11th Ave, College Point, NY 11356, USA",4,7581,,,ChIJ9z5s7LOKwokR7QoN7ANnoHU,"no sauna-specific signals"
FILTERED,"Chill Space NYC","124 E 40th St #504, New York, NY 10016, USA",4.8,106,,,ChIJ93gQWQFZwokRMuBUS-1tgUk,"no sauna-specific signals"
FILTERED,"Remedy Place Flatiron","12 W 21st St FRNT 1, New York, NY 10010, USA",4.6,97,,,ChIJhXiVU2hZwokRf4Fky0Z472w,"excluded type: doctor"
FILTERED,"Haus Of Glow NYC","27 Grand St Level 17, New York, NY 10013, USA",5,12,,,ChIJLafYBNObWYcRRokbLk4k8yo,"no sauna-specific signals"
FILTERED,"Elahni","12 W 27th St floor 2, New York, NY 10001, USA",5,85,,,ChIJAzeHxuxZwokRuIAxtgCC_aI,"no sauna-specific signals"
FILTERED,"AIRE Ancient Baths New York · Upper East Side","305 E 61st St, New York, NY 10065, USA",4.2,169,,,ChIJ5StDm9JZwokRzcYuBMHP3iU,"excluded type: store"
FILTERED,"Great Jones Spa","29 Great Jones St, New York, NY 10012, USA",4.3,559,,,ChIJoZydyppZwokRS4Z4loGc6R0,"no sauna-specific signals"
FILTERED,"Escape men spa","459 W 18th St, New York, NY 10011, USA",4.5,28,,,ChIJd2uOwCBZwokRUzlWGjI47L0,"no sauna-specific signals"
FILTERED,"Yeah Man Spa","123 Allen St, New York, NY 10002, USA",4.2,48,,,ChIJ-6idwoZZwokRjbecdyFPyE0,"no sauna-specific signals"
FILTERED,"Baruch Bathhouse","326 Delancey St, New York, NY 10002, USA",4,1,,,ChIJKaTGBgBZwokRzUJg1Tj4h3A,"too few reviews (1)"
FILTERED,"Tribeca Spa of Tranquility","462 Greenwich St, New York, NY 10013, USA",4.6,351,,,ChIJXy_rYhFZwokRpTBdxmRmz1Q,"no sauna-specific signals"
FILTERED,"SoJo Spa Club","660 River Rd, Edgewater, NJ 07020, USA",4.5,13412,,,ChIJ358yeUz2wokRJZ4uCq1YGcY,"no sauna-specific signals"
FILTERED,"SPA 32","30 W 32nd St, New York, NY 10001, USA",4.2,139,,,ChIJeemQ6KhZwokRC8zuNen1HTc,"no sauna-specific signals"
FILTERED,"Kimberly Spa","28 Elizabeth St, New York, NY 10013, USA",4.9,7194,,,ChIJNamd4pxZwokRMIbR9ykmBCw,"no sauna-specific signals"
FILTERED,"Head Spa Day - Korean Head Spa","1100 2nd Ave, New York, NY 10022, USA",5,46,,,ChIJ-7GYqfZZwokRQev4TytxGO4,"excluded name: head\s*spa"
FILTERED,"Eden Med Spa","388 Broadway # 1, New York, NY 10013, USA",4.4,267,,,ChIJh7EhnSBawokROF_mYcYdm9c,"no sauna-specific signals"
FILTERED,"88 Spa","88 Nassau St 3rd floor, New York, NY 10038, USA",4.3,52,,,ChIJAwSOg-xbwokRzSMdtutXm00,"no sauna-specific signals"
FILTERED,"Renew Day Spa 2","78 Bowery 1st Floor, New York, NY 10013, USA",5,6818,,,ChIJMWZmWCZawokRA47uYe6b6g0,"no sauna-specific signals"
FILTERED,"Island Spa & Sauna","1769 Lincoln Hwy, Edison, NJ 08817, USA",4.5,3515,,,ChIJjSmrWd_Hw4kRJ87lJumeh_k,"excluded type: restaurant"
FILTERED,"Maiden Spa Downtown Manhattan","1 Maiden Ln, New York, NY 10038, USA",5,6,,,ChIJNWKG0xlawokRzV1V0OjcgOA,"too few reviews (6)"
FILTERED,"The Spa at The Dominick","246 Spring St, New York, NY 10013, USA",2.7,28,,,ChIJEdDS3IxZwokR1lsBa9vyw2I,"no sauna-specific signals"
FILTERED,"Argana Day Spa","7712 13th Ave, Brooklyn, NY 11228, USA",4.7,99,,,ChIJK-t882pFwokRluI4P_QJ5dk,"no sauna-specific signals"
FILTERED,"WORLD SPA","1571 McDonald Ave, Brooklyn, NY 11230, USA",4.3,4117,,,ChIJlTAAft1EwokR3acGnzJxmY8,"no sauna-specific signals"
FILTERED,"Hammam AL Maghreb in Argana Day Spa","Argana Day Spa, 7712 13th Ave, Brooklyn, NY 11228, USA",,,,,ChIJAeN_RlZFwokRvHfy3q6MFmw,"too few reviews (0)"
FILTERED,"exhale Spa at Virgin Hotels, NYC","VIRGIN HOTELS, 1227 Broadway, New York, NY 10001, USA",4.5,258,,,ChIJRUMLjflZwokRcOB414j29DU,"gym without confirmed saunas"
FILTERED,"Sisley Spa at The Dominick","246 Spring St 7th floor, New York, NY 10013, USA",4.5,106,,,ChIJxxvMe-JZwokRKeIEmRlYM0U,"excluded type: store"
FILTERED,"Soho Sanctuary","119 Mercer St, New York, NY 10012, USA",4.3,52,,,ChIJkxgNlY5ZwokRsWe8oXWw_D8,"no sauna-specific signals"
FILTERED,"Aman Spa New York","The Crown Building, 730 5th Ave, New York, NY 10019, USA",3,15,,,ChIJT3J2IT9ZwokRvVTnsu6auGM,"no sauna-specific signals"
FILTERED,"The oak room spa","453 Broadway, Brooklyn, NY 11211, USA",4.8,89,,,ChIJXbJV5qZbwokRaQtGDc4kWww,"no sauna-specific signals"
FILTERED,"Coral Essex Spa","123 Essex St, New York, NY 10002, USA",4.1,75,,,ChIJT-prY9BZwokR-QcFU5GozFk,"no sauna-specific signals"
FILTERED,"Forbidden Well","52 E 11th St, New York, NY 10003, USA",4.9,63,,,ChIJo49JJUVZwokRNdHzYoVE95M,"no sauna-specific signals"
FILTERED,"Clean Market","240 E 54th St, New York, NY 10022, USA",4.9,646,,,ChIJ2Xd7EdpZwokRGnSyhDBntu4,"excluded type: store"
FILTERED,"Clean Market","250 Vesey St 2nd floor, New York, NY 10281, USA",4.9,203,,,ChIJbwsKYcZbwokRpiaJ6WfJ6Uc,"excluded type: store"
FILTERED,"Kollectiv | Sauna, Cryotherapy, Massage, CRYOSKIN, Energy Healing, Spa in New York","21 E 1st St, New York, NY 10003, USA",4.5,49,,,ChIJAQBw-IRZwokRhDN-b7dtdU4,"excluded name: \bcryotherapy\b"
